model,audio_file,elapsed_sec,success,cpu_mean,cpu_max,memory_mean_gb,memory_max_gb,memory_percent_mean,memory_percent_max,gpu_util_mean,gpu_util_max,gpu_mem_mean_mb,gpu_mem_max_mb
omniASR_LLM_1B,data/wav/hu/hu0162.mp3,1.0180206298828125,False,35.0,35.0,17.15776824951172,17.15776824951172,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/hu/hu0235.mp3,0.1137316226959228,False,12.0,12.0,17.080326080322266,17.080326080322266,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/hu/hu0235.mp3,1.0777437686920166,False,28.4,28.4,17.14413070678711,17.14413070678711,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/hu/hu0235.mp3,0.9994864463806152,False,23.0,23.0,17.147525787353516,17.147525787353516,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/hu/hu0235.mp3,1.0301790237426758,False,24.5,24.5,17.157440185546875,17.157440185546875,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/hu/hu0443.mp3,0.1053583621978759,False,9.7,9.7,17.084449768066406,17.084449768066406,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/hu/hu0443.mp3,1.0381667613983154,False,28.1,28.1,17.14407730102539,17.14407730102539,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/hu/hu0443.mp3,1.0282437801361084,False,33.3,33.3,17.137958526611328,17.137958526611328,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/hu/hu0443.mp3,1.0199363231658936,False,31.5,31.5,17.138946533203125,17.138946533203125,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/hu/hu0305.mp3,0.1074500083923339,False,12.6,12.6,17.0833740234375,17.0833740234375,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/hu/hu0305.mp3,1.0225629806518557,False,30.6,30.6,17.155529022216797,17.155529022216797,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/hu/hu0305.mp3,1.0399467945098877,False,27.8,27.8,17.145477294921875,17.145477294921875,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/hu/hu0305.mp3,1.0366387367248535,False,24.3,24.3,17.150985717773438,17.150985717773438,27.4,27.4,0.0,0.0,24.0,24.0
